severity,reason,source_doc,source_pdf,reference_page,office,funding_year,label,expected,detail,exception_key
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,76,OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2025,BANNER NET PAYROLL,996216.14,status=fail; banner=996216.14; parsed_body=1010679.02. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|76|OFFICE OF THE VICE PRESIDENT (D) - HARRIS|2025|BANNER NET PAYROLL|996216.14
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,76,OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2025,BANNER ORGANIZATION TOTALS,996216.14,status=warn; banner=996216.14; parsed_body=1010679.02. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|76|OFFICE OF THE VICE PRESIDENT (D) - HARRIS|2025|BANNER ORGANIZATION TOTALS|996216.14
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,78,PRESIDENT PRO TEMPORE (D),2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|78|PRESIDENT PRO TEMPORE (D)|2023|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,79,PRESIDENT PRO TEMPORE (D),2024,BANNER NET PAYROLL,22500.0,status=banner_missing; banner=22500.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|79|PRESIDENT PRO TEMPORE (D)|2024|BANNER NET PAYROLL|22500.0
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,79,PRESIDENT PRO TEMPORE (D),2024,BANNER ORGANIZATION TOTALS,22500.0,status=warn; banner=22500.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|79|PRESIDENT PRO TEMPORE (D)|2024|BANNER ORGANIZATION TOTALS|22500.0
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,80,PRESIDENT PRO TEMPORE (D),2025,BANNER NET PAYROLL,133361.05,status=fail; banner=133361.05; parsed_body=110861.05. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|80|PRESIDENT PRO TEMPORE (D)|2025|BANNER NET PAYROLL|133361.05
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,80,PRESIDENT PRO TEMPORE (D),2025,BANNER ORGANIZATION TOTALS,133361.05,status=fail; banner=133361.05; parsed_body=129861.05. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|80|PRESIDENT PRO TEMPORE (D)|2025|BANNER ORGANIZATION TOTALS|133361.05
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,82,MAJORITY LEADER (D),2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|82|MAJORITY LEADER (D)|2023|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,83,MAJORITY LEADER (D),2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|83|MAJORITY LEADER (D)|2023|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,84,MAJORITY LEADER (D),2024,BANNER NET PAYROLL,84939.25,status=banner_missing; banner=84939.25; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|84|MAJORITY LEADER (D)|2024|BANNER NET PAYROLL|84939.25
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,84,MAJORITY LEADER (D),2024,BANNER ORGANIZATION TOTALS,84939.25,status=warn; banner=84939.25; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|84|MAJORITY LEADER (D)|2024|BANNER ORGANIZATION TOTALS|84939.25
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,87,MAJORITY WHIP (D),2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|87|MAJORITY WHIP (D)|2023|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,88,MAJORITY WHIP (D),2024,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|88|MAJORITY WHIP (D)|2024|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,91,MAJORITY CONFERENCE COMMITTEE (D),2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|91|MAJORITY CONFERENCE COMMITTEE (D)|2023|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,92,MAJORITY CONFERENCE COMMITTEE (D),2024,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|92|MAJORITY CONFERENCE COMMITTEE (D)|2024|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,95,MAJORITY POLICY COMMITTEE (D),2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|95|MAJORITY POLICY COMMITTEE (D)|2023|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,96,MAJORITY POLICY COMMITTEE (D),2024,BANNER NET PAYROLL,127.92,status=banner_missing; banner=127.92; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|96|MAJORITY POLICY COMMITTEE (D)|2024|BANNER NET PAYROLL|127.92
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,96,MAJORITY POLICY COMMITTEE (D),2024,BANNER ORGANIZATION TOTALS,127.92,status=warn; banner=127.92; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|96|MAJORITY POLICY COMMITTEE (D)|2024|BANNER ORGANIZATION TOTALS|127.92
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,97,MINORITY POLICY COMMITTEE (D),2025,BANNER NET PAYROLL,836420.37,status=fail; banner=836420.37; parsed_body=836548.29. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|97|MINORITY POLICY COMMITTEE (D)|2025|BANNER NET PAYROLL|836420.37
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,97,MINORITY POLICY COMMITTEE (D),2025,BANNER ORGANIZATION TOTALS,836420.37,status=warn; banner=836420.37; parsed_body=836548.29. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|97|MINORITY POLICY COMMITTEE (D)|2025|BANNER ORGANIZATION TOTALS|836420.37
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,99,"SECRETARY, MAJORITY CONFERENCE COMM (D)",2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,"119sdoc3|banner_check_missing|99|SECRETARY, MAJORITY CONFERENCE COMM (D)|2023|BANNER NET PAYROLL|0.0"
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,100,"SECRETARY, MAJORITY CONFERENCE COMM (D)",2024,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,"119sdoc3|banner_check_missing|100|SECRETARY, MAJORITY CONFERENCE COMM (D)|2024|BANNER NET PAYROLL|0.0"
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,103,PRES PRO TEM EMERITUS (R),2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|103|PRES PRO TEM EMERITUS (R)|2023|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,104,PRES PRO TEM EMERITUS (R),2024,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|104|PRES PRO TEM EMERITUS (R)|2024|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,107,MINORITY LEADER (R),2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|107|MINORITY LEADER (R)|2023|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,108,MINORITY LEADER (R),2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|108|MINORITY LEADER (R)|2023|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,109,MINORITY LEADER (R),2024,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|109|MINORITY LEADER (R)|2024|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,112,MINORITY WHIP (R),2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|112|MINORITY WHIP (R)|2023|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,113,MINORITY WHIP (R),2024,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|113|MINORITY WHIP (R)|2024|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,116,MINORITY CONFERENCE COMMITTEE (R),2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|116|MINORITY CONFERENCE COMMITTEE (R)|2023|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,117,MINORITY CONFERENCE COMMITTEE (R),2024,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|117|MINORITY CONFERENCE COMMITTEE (R)|2024|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,119,MINORITY POLICY COMMITTEE (R),2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|119|MINORITY POLICY COMMITTEE (R)|2023|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,120,MINORITY POLICY COMMITTEE (R),2024,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|120|MINORITY POLICY COMMITTEE (R)|2024|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,122,"SECRETARY, MINORITY CONFERENCE COMM (R)",2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,"119sdoc3|banner_check_missing|122|SECRETARY, MINORITY CONFERENCE COMM (R)|2023|BANNER NET PAYROLL|0.0"
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,123,"SECRETARY, MINORITY CONFERENCE COMM (R)",2024,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,"119sdoc3|banner_check_missing|123|SECRETARY, MINORITY CONFERENCE COMM (R)|2024|BANNER NET PAYROLL|0.0"
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,125,SECRETARY FOR THE MAJORITY (D),2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|125|SECRETARY FOR THE MAJORITY (D)|2023|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,126,SECRETARY FOR THE MAJORITY (D),2024,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|126|SECRETARY FOR THE MAJORITY (D)|2024|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,128,SECRETARY FOR THE MINORITY (R),2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|128|SECRETARY FOR THE MINORITY (R)|2023|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,129,SECRETARY FOR THE MINORITY (R),2024,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|129|SECRETARY FOR THE MINORITY (R)|2024|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,131,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2023,BANNER NET PAYROLL,373.24,status=banner_missing; banner=373.24; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|131|SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE|2023|BANNER NET PAYROLL|373.24
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,131,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2023,BANNER ORGANIZATION TOTALS,373.24,status=warn; banner=373.24; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|131|SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE|2023|BANNER ORGANIZATION TOTALS|373.24
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,132,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2024,BANNER NET PAYROLL,37595.29,status=banner_missing; banner=37595.29; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|132|SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE|2024|BANNER NET PAYROLL|37595.29
